Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
13;ACAD;ACADIA Pharmaceuticals Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0042251084;;1,00;0,01;USD;05.08.2019 0:00:00
14;ACH;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные класса H;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций класса H Aluminum Corporation of China Limited;US0222761092;ESVUFA;1,00;0,01;USD;18.05.2017 0:00:00
15;ACIA;Acacia Communications, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00401C1080;;1,00;0,01;USD;28.02.2019 0:00:00
16;ACM;AECOM;Акции;Акции иностранного эмитента обыкновенные;;US00766T1007;;1,00;0,01;USD;31.10.2019 0:00:00
17;ACN;Accenture plc;Акции;Акции иностранного эмитента обыкновенные класса A;;IE00B4BNMY34;;1,00;0,01;USD;06.10.2016 0:00:00
18;ADBE;Adobe Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00724F1012;;1,00;0,01;USD;23.11.2016 0:00:00
19;ADI;Analog Devices, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0326541051;;1,00;0,01;USD;23.11.2016 0:00:00
20;ADM;Archer-Daniels-Midland Company;Акции;Акции иностранного эмитента обыкновенные;;US0394831020;;1,00;0,01;USD;23.11.2016 0:00:00
21;ADP;Automatic Data Processing, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0530151036;;1,00;0,01;USD;23.11.2016 0:00:00
22;ADS;Alliance Data Systems Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0185811082;;1,00;0,01;USD;18.05.2017 0:00:00
23;ADSK;Autodesk, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0527691069;;1,00;0,01;USD;23.11.2016 0:00:00
24;ADUS;Addus HomeCare Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0067391062;;1,00;0,01;USD;31.10.2019 0:00:00
25;AEE;Ameren Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0236081024;;1,00;0,01;USD;31.08.2017 0:00:00
26;AEIS;Advanced Energy Industries, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0079731008;;1,00;0,01;USD;28.02.2019 0:00:00
27;AERI;Aerie Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00771V1089;;1,00;0,01;USD;31.10.2019 0:00:00
28;AES;The AES Corporation;Акции;Акции иностранного эмитента обыкновенные;;US00130H1059;;1,00;0,01;USD;23.11.2016 0:00:00
29;AFG;American Financial Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0259321042;;1,00;0,01;USD;18.05.2020 0:00:00
30;AFL;Aflac Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US0010551028;;1,00;0,01;USD;23.11.2016 0:00:00
31;AGCO;AGCO Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0010841023;;1,00;0,01;USD;31.01.2019 0:00:00
