COP P/E =  13.55 P/B =  1.50 Price = 43.28
CORR P/E =  - P/B =  0.43 Price = 11.13
CORT P/E =  18.17 P/B =  4.41 Price = 15.75
COST P/E =  35.78 P/B =  8.05 Price = 302.43
COTY P/E =  - P/B =  0.76 Price = 3.75
COUP P/E =  - P/B =  31.51 Price = 227.48
CPB P/E =  37.14 P/B =  5.85 Price = 48.35
CPRI P/E =  6.35 P/B =  0.84 Price = 14.50
CPRT P/E =  28.04 P/B =  9.45 Price = 86.25
CPS P/E =  - P/B =  0.23 Price = 9.78
CR P/E =  28.03 P/B =  2.17 Price = 51.85
CREE P/E =  - P/B =  2.88 Price = 51.73
CRI P/E =  24.51 P/B =  4.94 Price = 81.52
CRL P/E =  34.92 P/B =  5.17 Price = 173.61
CRM P/E =  834.98 P/B =  4.67 Price = 177.85
CRMT P/E =  9.45 P/B =  1.75 Price = 77.46
CROX P/E =  17.83 P/B =  19.36 Price = 26.71
CRS P/E =  6.47 P/B =  0.67 Price = 22.44
CRUS P/E =  27.79 P/B =  3.50 Price = 73.48
CRVL P/E =  23.21 P/B =  5.48 Price = 58.07
CSCO P/E =  16.51 P/B =  5.32 Price = 44.90
CSGP P/E =  79.90 P/B =  6.94 Price = 659.10
CSII P/E =  - P/B =  8.83 Price = 37.01
CSL P/E =  14.42 P/B =  2.56 Price = 115.38
CSOD P/E =  - P/B =  12.25 Price = 36.02
CSWI P/E =  22.30 P/B =  3.59 Price = 66.15
CSX P/E =  16.53 P/B =  4.46 Price = 68.53
CTAS P/E =  27.28 P/B =  7.55 Price = 240.65
CTB P/E =  15.91 P/B =  1.05 Price = 24.57
CTL P/E =  8.73 P/B =  0.79 Price = 9.82
CTLT P/E =  105.68 P/B =  5.43 Price = 78.52
CTSH P/E =  16.11 P/B =  2.65 Price = 51.45
CTVA P/E =  103.54 P/B =  0.77 Price = 24.54
CTXS P/E =  23.98 P/B =  - Price = 137.04
CVCO P/E =  20.73 P/B =  2.87 Price = 186.73
CVET P/E =  - P/B =  1.45 Price = 15.60
CVGW P/E =  33.08 P/B =  3.60 Price = 58.65
CVLT P/E =  - P/B =  4.07 Price = 36.09
CVS P/E =  11.47 P/B =  1.27 Price = 63.33
CVX P/E =  44.74 P/B =  1.17 Price = 90.28
CW P/E =  13.09 P/B =  2.35 Price = 92.57
CXO P/E =  - P/B =  1.30 Price = 55.83
D P/E =  37.52 P/B =  2.38 Price = 80.51
DAL P/E =  4.21 P/B =  1.01 Price = 22.69
DAR P/E =  9.73 P/B =  1.41 Price = 22.01
DBX P/E =  - P/B =  11.28 Price = 21.67
DCI P/E =  20.71 P/B =  6.14 Price = 45.12
DD P/E =  - P/B =  0.91 Price = 48.69
DDOG P/E =  - P/B =  26.85 Price = 73.04
DDS P/E =  6.23 P/B =  0.41 Price = 27.18
DE P/E =  14.04 P/B =  3.70 Price = 140.71
DECK P/E =  18.38 P/B =  4.46 Price = 179.24
DFS P/E =  6.05 P/B =  1.37 Price = 40.47
DG P/E =  26.94 P/B =  6.77 Price = 178.98
DGX P/E =  19.92 P/B =  2.67 Price = 112.83
DHI P/E =  10.67 P/B =  1.89 Price = 54.06
DHR P/E =  43.63 P/B =  3.75 Price = 158.26
DIOD P/E =  17.62 P/B =  2.19 Price = 47.99
DIS P/E =  44.37 P/B =  2.36 Price = 118.02
DISCA P/E =  6.99 P/B =  1.11 Price = 20.30
DISCK P/E =  7.31 P/B =  1.31 Price = 18.36
DK P/E =  - P/B =  1.14 Price = 20.63
DKS P/E =  9.59 P/B =  1.56 Price = 32.09
DLB P/E =  18.77 P/B =  2.51 Price = 58.76
DLPH P/E =  - P/B =  4.37 Price = 11.80
DLR P/E =  48.61 P/B =  2.01 Price = 135.81
DLTH P/E =  7.72 P/B =  0.81 Price = 4.47
DLTR P/E =  23.54 P/B =  3.09 Price = 81.70
DLX P/E =  - P/B =  2.05 Price = 23.14
DNLI P/E =  - P/B =  4.78 Price = 25.45
DNOW P/E =  - P/B =  0.98 Price = 6.88
DOCU P/E =  - P/B =  44.04 Price = 133.00
DORM P/E =  26.04 P/B =  2.72 Price = 66.47
DOV P/E =  17.60 P/B =  4.35 Price = 89.77
DOW P/E =  - P/B =  1.99 Price = 36.12
DPZ P/E =  35.62 P/B =  - Price = 372.10
